문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
27924,Gold III,윤이는 엄청난 것을 훔쳐갔습니다,392,214,177,56.550%,https://www.acmicpc.net/problem/27924
16468,Platinum V,크리스마스 트리 꾸미기,611,243,173,38.274%,https://www.acmicpc.net/problem/16468
15647,Platinum V,로스팅하는 엠마도 바리스타입니다,396,204,166,51.077%,https://www.acmicpc.net/problem/15647
30108,Gold IV,교육적인 트리 문제,348,220,162,62.308%,https://www.acmicpc.net/problem/30108
22954,Gold I,그래프 트리 분할,1001,207,158,19.750%,https://www.acmicpc.net/problem/22954
27501,Gold I,RGB트리,422,199,157,43.490%,https://www.acmicpc.net/problem/27501
17842,Gold II,버스 노선,454,209,156,48.903%,https://www.acmicpc.net/problem/17842
15669,Platinum V,나무 위의 입자,543,189,154,35.814%,https://www.acmicpc.net/problem/15669
30893,Gold IV,트리 게임,586,184,152,32.972%,https://www.acmicpc.net/problem/30893
23835,Gold IV,어떤 우유의 배달목록 (Easy),275,176,149,67.421%,https://www.acmicpc.net/problem/23835
20295,Platinum III,사탕 배달,608,196,149,31.501%,https://www.acmicpc.net/problem/20295
32072,Platinum IV,트리 뽑아내기,313,193,148,66.667%,https://www.acmicpc.net/problem/32072
20541,Platinum V,앨범정리,950,215,145,22.446%,https://www.acmicpc.net/problem/20541
1836,Platinum IV,트리의 가짓수 세기,519,201,145,40.390%,https://www.acmicpc.net/problem/1836
25515,Gold IV,트리 노드 합의 최댓값,358,188,144,50.350%,https://www.acmicpc.net/problem/25515
1646,Gold I,피이보나치 트리,465,171,144,41.499%,https://www.acmicpc.net/problem/1646
1623,Gold I,신년 파티,682,182,143,35.661%,https://www.acmicpc.net/problem/1623
26260,Gold V,이가 빠진 이진 트리,271,178,138,62.727%,https://www.acmicpc.net/problem/26260
22253,Gold I,트리 디자이너 호석,382,181,138,45.395%,https://www.acmicpc.net/problem/22253
20506,Platinum V,Kaisar - 생존,234,159,138,66.667%,https://www.acmicpc.net/problem/20506
20532,Platinum IV,정점 간 통신 네트워크,632,172,134,25.524%,https://www.acmicpc.net/problem/20532
8944,Platinum V,이진 검색 트리 2,300,152,133,54.959%,https://www.acmicpc.net/problem/8944
17306,Platinum III,전쟁 중의 삶,691,197,128,24.951%,https://www.acmicpc.net/problem/17306
25549,Platinum III,트리의 MEX,366,165,127,44.876%,https://www.acmicpc.net/problem/25549
2376,Platinum V,단말 정점들의 거리,394,158,125,40.453%,https://www.acmicpc.net/problem/2376
24232,Gold I,망가진 나무,389,159,124,47.510%,https://www.acmicpc.net/problem/24232
23844,Gold I,트리 정리하기,330,152,120,44.610%,https://www.acmicpc.net/problem/23844
20131,Platinum V,트리 만들기,175,138,115,80.420%,https://www.acmicpc.net/problem/20131
16906,Platinum V,욱제어,436,144,115,34.125%,https://www.acmicpc.net/problem/16906
23578,Platinum V,비 오는 날,500,144,114,28.429%,https://www.acmicpc.net/problem/23578
13502,Gold II,단어퍼즐 2,661,176,113,25.223%,https://www.acmicpc.net/problem/13502
4315,Gold I,나무 위의 구슬,296,130,111,44.578%,https://www.acmicpc.net/problem/4315
31477,Gold III,양갈래 구하기,263,124,110,61.798%,https://www.acmicpc.net/problem/31477
18240,Gold II,이진 탐색 트리 복원하기,453,148,110,39.855%,https://www.acmicpc.net/problem/18240
23089,Platinum III,사탕나무,376,135,109,38.790%,https://www.acmicpc.net/problem/23089
22861,Gold I,폴더 정리 (large),629,200,109,25.057%,https://www.acmicpc.net/problem/22861
26216,Gold II,은나무,401,118,107,37.024%,https://www.acmicpc.net/problem/26216
25638,Platinum V,트리와 경로 개수 쿼리,331,136,107,46.121%,https://www.acmicpc.net/problem/25638
25198,Gold I,곰곰이의 심부름,326,133,107,51.942%,https://www.acmicpc.net/problem/25198
32028,Gold I,이진 검색 트리 복원하기,289,114,104,47.273%,https://www.acmicpc.net/problem/32028
30391,Gold IV,트리의 지름?,268,127,103,44.017%,https://www.acmicpc.net/problem/30391
28408,Gold I,나무늘보,682,235,101,39.453%,https://www.acmicpc.net/problem/28408
26159,Gold II,트리와 수열,351,150,101,39.608%,https://www.acmicpc.net/problem/26159
14432,Platinum V,우물,239,143,101,59.763%,https://www.acmicpc.net/problem/14432
12912,Gold I,트리 수정,283,125,101,48.792%,https://www.acmicpc.net/problem/12912
17493,Platinum III,동아리 홍보하기,632,138,100,26.810%,https://www.acmicpc.net/problem/17493
