문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
20670,Platinum III,미스테리 싸인,468,235,142,48.464%,https://www.acmicpc.net/problem/20670
32217,Bronze I,광선 다각형 만들기,194,153,139,80.814%,https://www.acmicpc.net/problem/32217
1438,Gold II,가장 작은 직사각형,684,182,139,36.387%,https://www.acmicpc.net/problem/1438
3097,Silver IV,산책 경로,282,146,136,57.872%,https://www.acmicpc.net/problem/3097
27718,Platinum V,선분 교차 EX,953,295,135,23.397%,https://www.acmicpc.net/problem/27718
1569,Silver I,정사각형으로 가리기,812,167,135,25.568%,https://www.acmicpc.net/problem/1569
25711,Gold V,인경산,261,158,132,64.706%,https://www.acmicpc.net/problem/25711
11668,Platinum IV,파이프 청소,570,153,132,31.280%,https://www.acmicpc.net/problem/11668
15574,Gold IV,신호 1,370,144,127,40.968%,https://www.acmicpc.net/problem/15574
32344,Silver V,유물 발굴,358,148,126,43.599%,https://www.acmicpc.net/problem/32344
28132,Gold I,기벡을 안배운다고?,607,205,126,27.511%,https://www.acmicpc.net/problem/28132
28067,Gold IV,기하가 너무 좋아,318,156,126,53.165%,https://www.acmicpc.net/problem/28067
3136,Platinum IV,평면도,489,176,124,37.690%,https://www.acmicpc.net/problem/3136
5631,Gold IV,방사능,743,134,120,28.571%,https://www.acmicpc.net/problem/5631
3008,Platinum V,직각 삼각형의 개수,728,195,120,29.412%,https://www.acmicpc.net/problem/3008
13202,Gold II,피자 배치,531,145,116,30.933%,https://www.acmicpc.net/problem/13202
9553,Gold V,양궁,587,181,116,27.553%,https://www.acmicpc.net/problem/9553
1858,Platinum V,기울기가 가장 큰 두 점,1165,134,113,15.893%,https://www.acmicpc.net/problem/1858
32031,Gold II,석고 모형 만들기,182,134,111,78.169%,https://www.acmicpc.net/problem/32031
22238,Gold IV,가희와 btd5,1161,169,108,12.706%,https://www.acmicpc.net/problem/22238
30536,Gold IV,시루의 산책,502,165,103,33.442%,https://www.acmicpc.net/problem/30536
1604,Platinum IV,정사각형 자르기,677,134,102,22.921%,https://www.acmicpc.net/problem/1604
32134,Gold III,짚단 베기,419,115,101,30.793%,https://www.acmicpc.net/problem/32134
25380,Platinum III,커다란 도시,874,150,99,21.522%,https://www.acmicpc.net/problem/25380
1686,Gold IV,복날,394,162,99,39.442%,https://www.acmicpc.net/problem/1686
31219,Gold III,세계 일주,256,124,98,52.688%,https://www.acmicpc.net/problem/31219
15575,Gold I,신호 2,367,121,98,34.028%,https://www.acmicpc.net/problem/15575
30626,Silver I,심심한 마루,244,112,97,47.805%,https://www.acmicpc.net/problem/30626
31405,Gold III,반 나누기 (Easy),517,116,95,24.297%,https://www.acmicpc.net/problem/31405
16155,Silver I,업힐과 가희,467,114,93,32.746%,https://www.acmicpc.net/problem/16155
14266,Gold I,나는 가르친다 스위핑을,185,111,93,58.125%,https://www.acmicpc.net/problem/14266
3959,Platinum V,스키 점프,496,150,93,34.572%,https://www.acmicpc.net/problem/3959
