문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
2855,Platinum III,흥미로운 수열,484,147,118,38.562%,https://www.acmicpc.net/problem/2855
28081,Silver I,직사각형 피자,572,153,117,24.477%,https://www.acmicpc.net/problem/28081
9623,Platinum IV,부분 수열의 길이,979,165,117,25.602%,https://www.acmicpc.net/problem/9623
20929,Gold I,중간,590,152,113,28.680%,https://www.acmicpc.net/problem/20929
27943,Gold V,가지 사진 찾기,603,126,111,22.200%,https://www.acmicpc.net/problem/27943
31965,Gold II,회의 장소,435,144,109,40.672%,https://www.acmicpc.net/problem/31965
22238,Gold IV,가희와 btd5,1161,169,108,12.706%,https://www.acmicpc.net/problem/22238
15317,Gold II,동방 보수,359,133,108,37.762%,https://www.acmicpc.net/problem/15317
2881,Gold II,산책길,470,160,108,42.353%,https://www.acmicpc.net/problem/2881
32125,Platinum V,일꾼 고용,268,128,107,48.416%,https://www.acmicpc.net/problem/32125
14609,Gold V,구분구적법 (Large),276,135,106,51.208%,https://www.acmicpc.net/problem/14609
32028,Gold I,이진 검색 트리 복원하기,289,114,104,47.273%,https://www.acmicpc.net/problem/32028
27654,Platinum V,시험,554,173,104,25.616%,https://www.acmicpc.net/problem/27654
11037,Gold IV,중복 없는 수,401,133,103,37.868%,https://www.acmicpc.net/problem/11037
25380,Platinum III,커다란 도시,874,150,99,21.522%,https://www.acmicpc.net/problem/25380
27068,Platinum V,이미지 보정 작업,337,138,98,39.676%,https://www.acmicpc.net/problem/27068
23032,Gold III,서프라이즈~,304,147,97,47.087%,https://www.acmicpc.net/problem/23032
31498,Gold V,장난을 잘 치는 토카 양,1041,142,96,15.094%,https://www.acmicpc.net/problem/31498
24887,Gold II,최대한의 휴식,244,100,96,45.714%,https://www.acmicpc.net/problem/24887
21396,Silver II,이진수 더하기,441,124,96,32.000%,https://www.acmicpc.net/problem/21396
12099,Gold IV,점심메뉴,286,129,95,51.913%,https://www.acmicpc.net/problem/12099
2802,Platinum III,크레용,390,129,95,33.929%,https://www.acmicpc.net/problem/2802
2130,Gold I,수조,884,194,95,19.467%,https://www.acmicpc.net/problem/2130
28103,Silver I,대회 상품 정하기,296,107,94,40.851%,https://www.acmicpc.net/problem/28103
12991,Gold I,홍준이의 행렬,411,119,93,35.769%,https://www.acmicpc.net/problem/12991
12880,Platinum IV,그래프 차이 최소,438,141,93,28.440%,https://www.acmicpc.net/problem/12880
31396,Platinum V,과부하 방지,291,104,92,50.000%,https://www.acmicpc.net/problem/31396
1200,Platinum IV,기상예측,300,125,92,52.273%,https://www.acmicpc.net/problem/1200
27977,Gold IV,킥보드로 등교하기,301,116,91,41.364%,https://www.acmicpc.net/problem/27977
27436,Silver III,벌집 2,711,142,91,22.195%,https://www.acmicpc.net/problem/27436
32358,Silver I,근성아 일하자,300,96,90,49.724%,https://www.acmicpc.net/problem/32358
27437,Silver I,분수찾기 2,294,117,90,43.269%,https://www.acmicpc.net/problem/27437
14701,Platinum III,셔틀버스,573,116,90,25.424%,https://www.acmicpc.net/problem/14701
31068,Platinum IV,균형 잡힌 등급,1000,100,88,16.206%,https://www.acmicpc.net/problem/31068
28257,Gold II,알록달록 초콜릿 만들기,367,120,88,39.111%,https://www.acmicpc.net/problem/28257
24527,Gold II,이상한 나라의 갈톤보드,300,109,87,40.845%,https://www.acmicpc.net/problem/24527
