문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
14938,Gold IV,서강그라운드,17391,8913,7186,49.709%,https://www.acmicpc.net/problem/14938
3109,Gold II,빵집,30188,10979,7138,31.826%,https://www.acmicpc.net/problem/3109
2251,Gold V,물통,18246,9492,7082,52.630%,https://www.acmicpc.net/problem/2251
17472,Gold I,다리 만들기 2,30048,11136,7074,33.448%,https://www.acmicpc.net/problem/17472
24444,Silver II,알고리즘 수업 - 너비 우선 탐색 1,19034,8593,7031,46.022%,https://www.acmicpc.net/problem/24444
1963,Gold IV,소수 경로,15928,9542,6853,60.347%,https://www.acmicpc.net/problem/1963
11060,Silver II,점프 점프,23249,8693,6852,36.608%,https://www.acmicpc.net/problem/11060
1939,Gold III,중량제한,39374,10930,6729,25.915%,https://www.acmicpc.net/problem/1939
21736,Silver II,헌내기는 친구가 필요해,13432,8004,6707,60.007%,https://www.acmicpc.net/problem/21736
24480,Silver II,알고리즘 수업 - 깊이 우선 탐색 2,14519,7547,6601,53.877%,https://www.acmicpc.net/problem/24480
14442,Gold III,벽 부수고 이동하기 2,33251,9267,6254,27.056%,https://www.acmicpc.net/problem/14442
1303,Silver I,전쟁 - 전투,19365,7659,6128,38.594%,https://www.acmicpc.net/problem/1303
2210,Silver II,숫자판 점프,10414,7652,6123,74.498%,https://www.acmicpc.net/problem/2210
18405,Gold V,경쟁적 전염,28923,9251,6042,29.673%,https://www.acmicpc.net/problem/18405
3184,Silver I,양,11706,7338,5821,63.841%,https://www.acmicpc.net/problem/3184
15681,Gold V,트리와 쿼리,15918,7557,5708,45.345%,https://www.acmicpc.net/problem/15681
24445,Silver II,알고리즘 수업 - 너비 우선 탐색 2,9375,6261,5690,69.124%,https://www.acmicpc.net/problem/24445
2056,Gold IV,작업,16282,7626,5623,44.206%,https://www.acmicpc.net/problem/2056
2665,Gold IV,미로만들기,14782,7457,5619,57.578%,https://www.acmicpc.net/problem/2665
2660,Gold V,회장뽑기,12518,6963,5604,56.259%,https://www.acmicpc.net/problem/2660
1446,Silver I,지름길,12426,7121,5380,57.729%,https://www.acmicpc.net/problem/1446
6497,Gold IV,전력난,19130,7186,5379,34.739%,https://www.acmicpc.net/problem/6497
1194,Gold I,"달이 차오른다, 가자.",18832,7900,5377,38.916%,https://www.acmicpc.net/problem/1194
10282,Gold IV,해킹,17170,7332,5347,41.235%,https://www.acmicpc.net/problem/10282
1941,Gold III,소문난 칠공주,15174,8182,5305,51.857%,https://www.acmicpc.net/problem/1941
9370,Gold II,미확인 도착지,28624,8264,5303,25.143%,https://www.acmicpc.net/problem/9370
16946,Gold II,벽 부수고 이동하기 4,26349,7558,5291,25.424%,https://www.acmicpc.net/problem/16946
1525,Gold II,퍼즐,18523,8159,5124,42.544%,https://www.acmicpc.net/problem/1525
3197,Platinum V,백조의 호수,39510,8110,5061,19.327%,https://www.acmicpc.net/problem/3197
3584,Gold IV,가장 가까운 공통 조상,12871,6717,5044,52.188%,https://www.acmicpc.net/problem/3584
1058,Silver II,친구,12835,6019,5023,48.266%,https://www.acmicpc.net/problem/1058
1774,Gold III,우주신과의 교감,22107,7284,5002,31.130%,https://www.acmicpc.net/problem/1774
19238,Gold II,스타트 택시,34154,8120,4916,21.382%,https://www.acmicpc.net/problem/19238
10159,Gold IV,저울,9368,6133,4901,67.815%,https://www.acmicpc.net/problem/10159
4803,Gold IV,트리,19969,6929,4813,32.617%,https://www.acmicpc.net/problem/4803
1388,Silver IV,바닥 장식,8962,5886,4790,68.234%,https://www.acmicpc.net/problem/1388
17086,Silver II,아기 상어 2,12889,6373,4776,47.622%,https://www.acmicpc.net/problem/17086
9328,Gold I,열쇠,22896,6854,4720,27.345%,https://www.acmicpc.net/problem/9328
1240,Gold V,노드사이의 거리,11227,6131,4719,54.354%,https://www.acmicpc.net/problem/1240
2250,Gold II,트리의 높이와 너비,22601,6675,4605,28.219%,https://www.acmicpc.net/problem/2250
16948,Silver I,데스 나이트,7777,5298,4471,69.157%,https://www.acmicpc.net/problem/16948
20058,Gold III,마법사 상어와 파이어스톰,15943,7133,4360,41.113%,https://www.acmicpc.net/problem/20058
2234,Gold III,성곽,12273,6089,4331,48.434%,https://www.acmicpc.net/problem/2234
5972,Gold V,택배 배송,9168,5396,4323,58.553%,https://www.acmicpc.net/problem/5972
1613,Gold III,역사,17128,5623,4143,34.180%,https://www.acmicpc.net/problem/1613
16562,Gold IV,친구비,12367,5329,4054,42.036%,https://www.acmicpc.net/problem/16562
1189,Silver I,컴백홈,9195,5148,3991,55.313%,https://www.acmicpc.net/problem/1189
1854,Platinum IV,K번째 최단경로 찾기,16285,6377,3942,35.840%,https://www.acmicpc.net/problem/1854
3665,Gold I,최종 순위,13791,5683,3913,38.858%,https://www.acmicpc.net/problem/3665
1103,Gold II,게임,23988,5517,3880,21.562%,https://www.acmicpc.net/problem/1103
1405,Gold IV,미친 로봇,11635,5318,3737,42.635%,https://www.acmicpc.net/problem/1405
5719,Platinum V,거의 최단 경로,30867,5783,3670,19.568%,https://www.acmicpc.net/problem/5719
12869,Gold IV,뮤탈리스크,10803,5206,3634,47.097%,https://www.acmicpc.net/problem/12869
17141,Gold IV,연구소 2,12096,5059,3627,43.468%,https://www.acmicpc.net/problem/17141
16197,Gold IV,두 동전,12109,5308,3613,41.687%,https://www.acmicpc.net/problem/16197
6118,Silver I,숨바꼭질,8237,4508,3604,56.792%,https://www.acmicpc.net/problem/6118
1726,Gold III,로봇,19249,5263,3594,26.549%,https://www.acmicpc.net/problem/1726
17836,Gold V,공주님을 구해라!,18024,4809,3590,24.725%,https://www.acmicpc.net/problem/17836
21609,Gold II,상어 중학교,13962,5564,3505,36.571%,https://www.acmicpc.net/problem/21609
16724,Gold III,피리 부는 사나이,10242,4642,3503,42.492%,https://www.acmicpc.net/problem/16724
14567,Gold V,선수과목 (Prerequisite),6992,4534,3494,65.394%,https://www.acmicpc.net/problem/14567
11780,Gold II,플로이드 2,10234,4436,3470,45.176%,https://www.acmicpc.net/problem/11780
11266,Platinum IV,단절점,15797,5858,3460,34.868%,https://www.acmicpc.net/problem/11266
13565,Silver II,침투,10187,4675,3434,44.829%,https://www.acmicpc.net/problem/13565
1039,Gold II,교환,19599,4553,3396,23.372%,https://www.acmicpc.net/problem/1039
1948,Platinum V,임계경로,14540,4761,3374,31.486%,https://www.acmicpc.net/problem/1948
16954,Gold III,움직이는 미로 탈출,15234,5074,3205,28.835%,https://www.acmicpc.net/problem/16954
14716,Silver I,현수막,6250,3762,3161,62.830%,https://www.acmicpc.net/problem/14716
13459,Gold I,구슬 탈출,12364,4321,3146,35.033%,https://www.acmicpc.net/problem/13459
23288,Gold III,주사위 굴리기 2,6704,4161,3122,62.982%,https://www.acmicpc.net/problem/23288
16173,Silver IV,점프왕 쩰리 (Small),9532,4001,3035,40.159%,https://www.acmicpc.net/problem/16173
16398,Gold IV,행성 연결,8879,4209,3031,44.222%,https://www.acmicpc.net/problem/16398
16933,Gold I,벽 부수고 이동하기 3,18695,4539,3023,23.243%,https://www.acmicpc.net/problem/16933
1719,Gold III,택배,7120,4188,3005,57.956%,https://www.acmicpc.net/problem/1719
14267,Gold IV,회사 문화 1,10094,3866,2918,36.298%,https://www.acmicpc.net/problem/14267
6087,Gold III,레이저 통신,21638,4183,2912,23.227%,https://www.acmicpc.net/problem/6087
2933,Gold I,미네랄,15261,4360,2875,26.229%,https://www.acmicpc.net/problem/2933
2617,Gold IV,구슬 찾기,10758,3736,2785,34.635%,https://www.acmicpc.net/problem/2617
2637,Gold II,장난감 조립,8433,3757,2782,48.619%,https://www.acmicpc.net/problem/2637
12886,Gold IV,돌 그룹,13366,4318,2773,28.979%,https://www.acmicpc.net/problem/12886
1507,Gold II,궁금한 민호,6330,3513,2772,54.364%,https://www.acmicpc.net/problem/1507
4991,Gold I,로봇 청소기,12015,4145,2738,31.911%,https://www.acmicpc.net/problem/4991
2211,Gold II,네트워크 복구,7480,3855,2716,50.324%,https://www.acmicpc.net/problem/2211
14621,Gold III,나만 안되는 연애,6778,3335,2664,47.067%,https://www.acmicpc.net/problem/14621
1162,Platinum V,도로포장,18439,4249,2604,22.337%,https://www.acmicpc.net/problem/1162
1938,Gold II,통나무 옮기기,10412,3672,2603,34.187%,https://www.acmicpc.net/problem/1938
6086,Gold III,최대 유량,15779,4797,2594,27.517%,https://www.acmicpc.net/problem/6086
17071,Platinum V,숨바꼭질 5,15707,3732,2587,24.094%,https://www.acmicpc.net/problem/17071
16947,Gold III,서울 지하철 2호선,8574,3904,2566,43.625%,https://www.acmicpc.net/problem/16947
11967,Gold II,불켜기,11606,3458,2373,27.722%,https://www.acmicpc.net/problem/11967
